<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20221101;000000;170.8900000;171.2900000;169.7500000;169.9200000;16772810
GAZP;D;20221102;000000;169.9900000;170.4500000;167.1000000;167.7200000;18450560
GAZP;D;20221103;000000;167.1000000;169.6500000;166.6800000;169.1400000;18086420
GAZP;D;20221107;000000;171.0200000;171.5900000;169.5200000;169.8500000;21765300
GAZP;D;20221108;000000;170.0500000;172.0000000;169.1700000;169.9700000;25244620
GAZP;D;20221109;000000;169.8400000;170.3200000;166.1500000;167.1000000;19082490
GAZP;D;20221110;000000;167.5000000;170.1800000;167.1800000;168.9000000;23909580
GAZP;D;20221111;000000;169.2900000;170.6000000;167.5100000;169.8600000;16579520
GAZP;D;20221114;000000;170.8300000;171.9200000;166.5100000;169.6000000;30006030
GAZP;D;20221115;000000;171.1000000;171.3000000;161.7900000;166.2500000;32944690
GAZP;D;20221116;000000;166.7500000;169.1500000;166.6200000;168.7600000;14010380
GAZP;D;20221117;000000;168.8100000;169.8000000;168.0100000;168.9900000;10907230
GAZP;D;20221118;000000;169.2000000;169.2500000;167.5100000;168.7900000;10088970
GAZP;D;20221121;000000;168.6000000;168.6700000;167.0000000;168.1300000;10275320
GAZP;D;20221122;000000;167.8900000;168.5000000;167.4500000;168.0800000;9940350
GAZP;D;20221123;000000;168.2500000;170.6000000;167.5000000;169.1500000;18356940
GAZP;D;20221124;000000;169.4100000;170.8700000;168.6000000;168.9600000;10795920
GAZP;D;20221125;000000;169.2000000;169.5300000;168.1000000;169.0300000;10156450
GAZP;D;20221128;000000;167.9500000;168.6700000;167.5200000;168.1000000;9481790
GAZP;D;20221129;000000;168.5700000;169.0000000;167.9200000;168.1000000;9784640
GAZP;D;20221130;000000;167.9800000;168.1900000;167.6000000;167.7000000;11821140
GAZP;D;20221201;000000;168.0000000;168.7600000;166.3100000;166.9800000;11949730
GAZP;D;20221202;000000;167.0000000;167.1900000;164.1800000;165.8600000;20370600
GAZP;D;20221205;000000;165.5800000;167.2000000;164.5800000;165.0300000;12255370
GAZP;D;20221206;000000;165.0300000;165.6800000;163.1200000;164.3000000;13466500
GAZP;D;20221207;000000;164.2800000;164.3300000;162.7000000;163.7000000;11210710
GAZP;D;20221208;000000;163.6700000;163.9900000;162.7100000;163.0000000;8836290
GAZP;D;20221209;000000;163.0000000;163.4800000;162.4000000;162.7500000;8304900
GAZP;D;20221212;000000;163.2400000;163.8100000;161.8500000;162.8900000;13133750
GAZP;D;20221213;000000;162.9800000;163.4400000;162.0000000;162.4000000;8460120
GAZP;D;20221214;000000;162.2100000;162.4900000;160.2500000;160.7400000;13878450
GAZP;D;20221215;000000;160.7500000;161.2500000;157.7200000;160.3100000;22006180
GAZP;D;20221216;000000;160.3000000;162.4800000;159.9500000;160.2400000;13711020
GAZP;D;20221219;000000;159.9100000;160.1200000;157.0000000;157.6100000;19274460
GAZP;D;20221220;000000;157.4800000;159.4500000;157.3800000;158.9400000;15640340
GAZP;D;20221221;000000;159.4400000;160.0000000;156.5000000;157.5900000;16484550
GAZP;D;20221222;000000;157.7000000;159.0000000;157.1200000;157.9500000;10548120
GAZP;D;20221223;000000;157.9600000;162.5000000;157.2200000;160.8900000;23289210
GAZP;D;20221226;000000;161.7400000;163.1000000;160.8000000;162.1200000;15107620
GAZP;D;20221227;000000;162.4200000;164.9800000;161.9800000;164.0700000;20324380
GAZP;D;20221228;000000;164.2200000;164.7900000;161.8100000;161.8200000;13592880
GAZP;D;20221229;000000;161.8000000;163.3800000;161.7400000;162.9100000;9204120
GAZP;D;20221230;000000;162.9100000;164.0000000;161.8000000;162.5600000;11637250
GAZP;D;20230103;000000;163.0200000;164.3600000;162.3300000;163.5200000;6366490
GAZP;D;20230104;000000;163.4600000;163.4600000;162.0600000;162.5100000;6656380
GAZP;D;20230105;000000;162.5100000;162.8500000;160.7100000;161.2000000;7599140
GAZP;D;20230106;000000;161.2000000;162.5900000;161.1000000;162.1000000;5240800
GAZP;D;20230109;000000;162.9800000;163.4900000;161.8800000;162.7100000;9706960
GAZP;D;20230110;000000;162.7200000;162.9800000;161.4400000;162.1000000;7342060
GAZP;D;20230111;000000;162.0900000;167.1900000;161.7000000;165.8300000;25239300
GAZP;D;20230112;000000;165.7100000;165.7900000;163.7500000;164.1700000;11337740
GAZP;D;20230113;000000;164.3000000;165.7300000;163.5000000;164.5600000;12244240
GAZP;D;20230116;000000;165.1000000;166.8000000;164.9000000;165.8000000;14664800
GAZP;D;20230117;000000;165.8200000;165.9200000;162.0000000;162.3300000;18054520
GAZP;D;20230118;000000;162.5300000;163.9600000;160.8100000;162.1800000;14445400
