<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPBEX.DDD;D;20221101;0;8.8500000;9.0300000;8.8500000;8.9400000;414
SPBEX.DDD;D;20221102;0;9.0200000;9.0200000;8.4500000;8.4500000;735
SPBEX.DDD;D;20221103;0;9.0000000;9.0000000;8.2000000;8.2800000;764
SPBEX.DDD;D;20221104;0;8.3100000;8.4700000;7.8300000;8.0300000;5988
SPBEX.DDD;D;20221107;0;7.9600000;8.1300000;7.6800000;7.8000000;6415
SPBEX.DDD;D;20221108;0;7.8100000;7.9900000;7.6400000;7.7000000;5106
SPBEX.DDD;D;20221109;0;7.7300000;8.9500000;7.0000000;8.2600000;7287
SPBEX.DDD;D;20221110;0;8.1700000;9.2700000;8.0100000;9.2700000;3231
SPBEX.DDD;D;20221111;0;9.2500000;10.1500000;8.7000000;10.0900000;4057
SPBEX.DDD;D;20221112;0;10.0200000;10.0200000;9.6700000;9.9500000;817
SPBEX.DDD;D;20221114;0;9.8900000;10.3200000;9.5000000;10.1400000;2465
SPBEX.DDD;D;20221115;0;10.1300000;10.9800000;9.6300000;10.7700000;2327
SPBEX.DDD;D;20221116;0;10.7200000;10.8700000;9.9700000;10.0700000;3468
SPBEX.DDD;D;20221117;0;10.1600000;10.1700000;9.6700000;9.9000000;1298
SPBEX.DDD;D;20221118;0;10.0300000;10.3100000;9.7600000;9.8000000;282
SPBEX.DDD;D;20221119;0;9.7800000;9.7800000;9.7800000;9.7800000;45
SPBEX.DDD;D;20221121;0;9.6800000;9.6800000;9.5000000;9.5300000;610
SPBEX.DDD;D;20221122;0;9.5200000;9.5600000;9.4500000;9.4500000;624
SPBEX.DDD;D;20221123;0;9.4700000;9.7600000;9.4500000;9.7600000;523
SPBEX.DDD;D;20221124;0;9.7500000;9.7500000;9.7500000;9.7500000;455
SPBEX.DDD;D;20221125;0;9.7800000;9.8200000;9.7200000;9.7400000;42
SPBEX.DDD;D;20221128;0;9.7600000;9.7600000;9.1500000;9.1500000;377
SPBEX.DDD;D;20221129;0;9.1300000;9.3100000;9.0900000;9.2200000;331
SPBEX.DDD;D;20221130;0;9.2300000;10.0300000;9.2300000;10.0300000;158
SPBEX.DDD;D;20221201;0;10.1400000;10.3500000;10.0200000;10.1200000;262
SPBEX.DDD;D;20221202;0;10.1300000;10.2200000;9.8200000;10.2200000;4365
SPBEX.DDD;D;20221205;0;10.1100000;10.2200000;9.9600000;9.9600000;3870
SPBEX.DDD;D;20221206;0;9.7600000;9.8300000;9.3800000;9.3800000;9284
SPBEX.DDD;D;20221207;0;9.4200000;9.4900000;9.1400000;9.1700000;3959
